model,model_config_id,fold,asset,regime_dimension,stressed_regime_value,reference_regime_value,stressed_n,reference_n,stressed_status,reference_status,contrast_status,headline_reportable,stressed_mae,reference_mae,stressed_rmse,reference_rmse,stressed_directional_accuracy,reference_directional_accuracy,stressed_mae_skill,reference_mae_skill,mae_skill_degradation,mae_raw_degradation,rmse_raw_degradation,da_degradation,directional_stability_loss,lstm_reportable_seed_count,lstm_seed_mae_skill_degradations,lstm_seed_signs,lstm_seed_sign_disagreement
lightgbm,LGBM_01,D5,NVDA,transition,transition,stable,35,217,reportable,reportable,reportable,True,0.028999754178309814,0.023893905976363664,0.039364736946832693,0.031600188566290835,0.59999999999999998,0.54838709677419351,0.020098831120266114,0.0046704343956892602,0.015428396724576854,0.0051058482019461504,0.007764548380541858,0.051612903225806472,-0.051612903225806472,,,,
lstm_seed_mean,LSTM_63,D1,AAPL,trend,negative_trend,positive_trend,64,189,reportable,reportable,reportable,True,0.029676593658259216,0.01796200045797355,0.042753983928514185,0.024368226157267789,0.546875,0.50440917107583771,-0.040341891758517358,-0.013514818377480883,-0.026827073381036473,0.011714593200285665,0.018385757771246396,0.042465828924162285,-0.042465828924162285,3,-0.079211237860903894|-0.017066562035088495|0.015796579752882955,negative|negative|positive,True
lstm_seed_mean,LSTM_63,D1,AAPL,volatility,high_volatility,low_volatility,220,33,reportable,reportable,reportable,True,0.021669768430896495,0.015962758360253387,0.031111336158106892,0.022251875140042662,0.51818181818181819,0.49494949494949497,-0.025434619555978477,-0.0012748235669843844,-0.024159795988994093,0.0057070100706431079,0.0088594610180642297,0.023232323232323215,-0.023232323232323215,3,0.010449080691820267|-0.072475415299774637|-0.010453053359027908,positive|negative|negative,True
lstm_seed_mean,LSTM_63,D1,AAPL,transition,transition,stable,91,162,reportable,reportable,reportable,True,0.028132567917248701,0.016876891359357774,0.039070352528901613,0.023618030877782168,0.49816849816849818,0.52469135802469136,-0.039239509551297548,-0.0082071496600026137,-0.031032359891294936,0.011255676557890927,0.015452321651119445,-0.026522859856193182,0.026522859856193182,3,-0.03761968354459766|-0.038663713363011443|-0.016813682766275706,negative|negative|negative,False
lstm_seed_mean,LSTM_63,D1,MSFT,trend,negative_trend,positive_trend,64,189,reportable,reportable,reportable,True,0.035708304276476081,0.01735475565144157,0.049135687999718479,0.022808353303390077,0.54166666666666663,0.48324514991181661,-0.18319660002093294,-0.17910235709642963,-0.0040942429245033052,0.018353548625034511,0.026327334696328402,0.058421516754850022,-0.058421516754850022,3,0.030134376898101722|-0.087506475183847021|0.045089369512235411,positive|negative|positive,True
lstm_seed_mean,LSTM_63,D1,MSFT,volatility,high_volatility,low_volatility,220,33,reportable,reportable,reportable,True,0.023235802306465738,0.013742538921044383,0.033202211000516631,0.017711083020437179,0.49848484848484848,0.49494949494949497,-0.18844502689680379,-0.10075684198745975,-0.087688184909344033,0.0094932633854213546,0.015491127980079452,0.0035353535353535026,-0.0035353535353535026,3,-0.13794356535802255|-0.041755864688726829|-0.083365124681282765,negative|negative|negative,False
lstm_seed_mean,LSTM_63,D1,MSFT,transition,transition,stable,91,162,reportable,reportable,reportable,True,0.031372812855859168,0.016731199518109519,0.043455127858980057,0.022355038119833189,0.47252747252747257,0.51234567901234562,-0.16957251933931058,-0.19281982506179016,0.023247305722479572,0.014641613337749649,0.021100089739146868,-0.039818206484873053,0.039818206484873053,3,0.016315428064557214|0.046065356154719961|0.0073611329481615417,positive|positive|positive,False
lstm_seed_mean,LSTM_63,D1,GOOGL,trend,negative_trend,positive_trend,64,189,reportable,reportable,reportable,True,0.027843303552591816,0.014839091981017634,0.039548855280837465,0.019481540723446211,0.54166666666666663,0.50088183421516752,-0.061467386714442962,-0.092998994922617539,0.031531608208174577,0.013004211571574182,0.020067314557391254,0.040784832451499109,-0.040784832451499109,3,0.028854875415790238|0.073102847706366991|-0.0073628984976334966,positive|positive|negative,True
lstm_seed_mean,LSTM_63,D1,GOOGL,volatility,high_volatility,low_volatility,220,33,reportable,reportable,reportable,True,0.018964667185136078,0.012555546395402163,0.027206951837125713,0.016609308257223822,0.50151515151515147,0.5757575757575758,-0.088406257056031931,-0.0071239996173736442,-0.081282257438658287,0.0064091207897339145,0.010597643579901891,-0.074242424242424332,0.074242424242424332,3,-0.024701976699811778|-0.036331399761461936|-0.18281339585470113,negative|negative|negative,False
lstm_seed_mean,LSTM_63,D1,GOOGL,transition,transition,stable,91,162,reportable,reportable,reportable,True,0.024587110334882423,0.014500819575950044,0.034445758306828687,0.019844517573999972,0.49816849816849818,0.51851851851851849,-0.089281605452616097,-0.072321117125553516,-0.016960488327062581,0.010086290758932378,0.014601240732828716,-0.020350020350020315,0.020350020350020315,3,-0.01818468044019228|0.055432034061115298|-0.088128818602110748,negative|positive|negative,True
lstm_seed_mean,LSTM_63,D1,NVDA,trend,negative_trend,positive_trend,64,189,reportable,reportable,reportable,True,0.038696955059738171,0.02119027997677625,0.054149257080603481,0.028475022763812669,0.58333333333333337,0.53439153439153442,0.069723622969954449,-0.02387825414340557,0.093601877113360016,0.017506675082961921,0.025674234316790813,0.048941798941798953,-0.048941798941798953,3,0.042592017647021363|0.14420024429434875|0.094013369398709967,positive|positive|positive,False
lstm_seed_mean,LSTM_63,D1,NVDA,volatility,high_volatility,low_volatility,220,33,reportable,reportable,reportable,True,0.026950337417767894,0.016742236591667198,0.038173876958098991,0.025000599408973607,0.55303030303030309,0.50505050505050508,0.016029650150621039,-0.0079736845710568494,0.024003334721677889,0.010208100826100696,0.013173277549125385,0.047979797979798011,-0.047979797979798011,3,0.0038320301277494639|0.078050828589521393|-0.0098728545522371869,positive|positive|negative,True
lstm_seed_mean,LSTM_63,D1,NVDA,transition,transition,stable,91,162,reportable,reportable,reportable,True,0.03543235879335551,0.020106317217522238,0.049018239356714906,0.027491629945784302,0.59340659340659341,0.52057613168724282,0.065230734559641013,-0.042498770436835365,0.10772950499647638,0.015326041575833272,0.021526609410930604,0.072830461719350592,-0.072830461719350592,3,0.1196976446781749|0.13710931810352311|0.06638155220773112,positive|positive|positive,False
