model,model_config_id,fold,asset,regime_dimension,regime_value,n_seeds,n_per_seed,all_seed_cells_reportable,sample_size_status,mae_mean,mae_std,mae_min,mae_max,rmse_mean,rmse_std,rmse_min,rmse_max,directional_accuracy_mean,directional_accuracy_std,directional_accuracy_min,directional_accuracy_max,actual_positive_direction_balance_mean,actual_positive_direction_balance_std,actual_positive_direction_balance_min,actual_positive_direction_balance_max,matched_baseline_mae_mean,matched_baseline_mae_std,matched_baseline_mae_min,matched_baseline_mae_max,mae_skill_mean,mae_skill_std,mae_skill_min,mae_skill_max,matched_direction_persistence_da_mean,matched_direction_persistence_da_std,matched_direction_persistence_da_min,matched_direction_persistence_da_max,da_difference_mean,da_difference_std,da_difference_min,da_difference_max
lstm_seed_mean,LSTM_63,D2,GOOGL,transition,stable,3,200,True,reportable,0.010889917332614718,7.0686091168083466e-05,0.010791979501665806,0.010956233327921259,0.014889551275154565,6.4680934731076501e-05,0.01480654873976465,0.014964344723848416,0.52999999999999992,0.0040824829046386341,0.52500000000000002,0.53500000000000003,0.56000000000000005,0,0.56000000000000005,0.56000000000000005,0.010911119819131752,0,0.010911119819131752,0.010911119819131752,0.0019431998611047681,0.0064783534907335147,-0.0041346359986262904,0.010919164984059981,0.505,0,0.505,0.505,0.025000000000000022,0.0040824829046386341,0.020000000000000018,0.030000000000000027
lstm_seed_mean,LSTM_63,D2,GOOGL,transition,transition,3,52,True,reportable,0.011222348033646107,0.00016267765455897878,0.01099318236644063,0.01135449081229197,0.016195732375816053,0.00038843474842778194,0.01568661397465047,0.016628956544635993,0.5641025641025641,0.045327357768368423,0.5,0.59615384615384615,0.61538461538461542,0,0.61538461538461542,0.61538461538461542,0.011622591469613558,0,0.011622591469613558,0.011622591469613558,0.034436677656085567,0.013996676643439445,0.023067201322744424,0.054153938458430084,0.5,0,0.5,0.5,0.064102564102564097,0.045327357768368423,0,0.096153846153846145
lstm_seed_mean,LSTM_63,D2,GOOGL,trend,negative_trend,3,2,False,descriptive_low_n,0.010252560894604801,0.00077701138743584749,0.0091722982064609999,0.010967032244873552,0.010953295576650342,0.00079564885567429979,0.0098985368048634514,0.011820084158511856,1,0,1,1,1,0,1,1,0.012898788048398951,0,0.012898788048398951,0.012898788048398951,0.20515316197653241,0.060239100334104144,0.14976258205631776,0.28890232384278136,0,0,0,0,1,0,1,1
lstm_seed_mean,LSTM_63,D2,GOOGL,trend,positive_trend,3,250,True,reportable,0.010964161769933325,9.227725331580446e-05,0.010835218715692457,0.011046037428504109,0.015197750964632285,0.0001264401274177055,0.01501920825160989,0.015295538978472557,0.53333333333333333,0.01236482466066095,0.51600000000000001,0.54400000000000004,0.56799999999999995,0,0.56799999999999995,0.56799999999999995,0.011043204576597831,1.7347234759768071e-18,0.011043204576597829,0.011043204576597829,0.0071575968837892523,0.0083560213591762581,-0.00025652444330170887,0.018833832105775272,0.50800000000000001,0,0.50800000000000001,0.50800000000000001,0.025333333333333357,0.01236482466066095,0.0080000000000000071,0.036000000000000032
lstm_seed_mean,LSTM_63,D2,GOOGL,volatility,high_volatility,3,144,True,reportable,0.011262350250823913,0.00015199120202637924,0.011061198409486078,0.011428542029217427,0.015829255021859945,0.00019543750858838814,0.015553496166430638,0.015983306026000319,0.53935185185185197,0.014269476858724475,0.52083333333333337,0.55555555555555558,0.59027777777777779,0,0.59027777777777779,0.59027777777777779,0.011450653560951143,1.7347234759768071e-18,0.011450653560951141,0.011450653560951141,0.016444765281291834,0.013273583138057519,0.0019310279204602931,0.034011608978650631,0.47222222222222215,5.5511151231257827e-17,0.47222222222222221,0.47222222222222221,0.06712962962962965,0.014269476858724475,0.04861111111111116,0.08333333333333337
lstm_seed_mean,LSTM_63,D2,GOOGL,volatility,low_volatility,3,108,True,reportable,0.010553399334758309,5.4693544821966513e-05,0.010501332419737401,0.010628969173221987,0.014240303978275306,5.2666230634658737e-05,0.014196710492929083,0.014314400852883444,0.53395061728395066,0.015737714548125899,0.51851851851851849,0.55555555555555558,0.54629629629629628,0,0.54629629629629628,0.54629629629629628,0.01053430192101195,0,0.01053430192101195,0.01053430192101195,-0.0018128789064103534,0.005191947718232193,-0.0089865710058312231,0.0031297281511162289,0.54629629629629628,0,0.54629629629629628,0.54629629629629628,-0.012345679012345659,0.015737714548125895,-0.02777777777777779,0.0092592592592593004
lstm_seed_mean,LSTM_63,D2,MSFT,transition,stable,3,200,True,reportable,0.010565461006692081,7.9557749340914335e-05,0.010454892207653168,0.010638774791381504,0.013385003974845315,7.2606765449118155e-05,0.013282808609431025,0.013444744229470274,0.48999999999999999,0.016329931618554536,0.46999999999999997,0.51000000000000001,0.51000000000000001,0,0.51000000000000001,0.51000000000000001,0.0096218315615317681,0,0.0096218315615317681,0.0096218315615317681,-0.098071706943297254,0.0082684620731656982,-0.105691231793694,-0.08658025665840885,0.51500000000000001,0,0.51500000000000001,0.51500000000000001,-0.025000000000000022,0.016329931618554536,-0.04500000000000004,-0.0050000000000000044
lstm_seed_mean,LSTM_63,D2,MSFT,transition,transition,3,52,True,reportable,0.010977673854285131,0.00010700274339034511,0.010840400459195789,0.011101459367683583,0.014311538172490749,0.00011015543789217168,0.014164843197816929,0.01443029236693035,0.63461538461538458,0,0.63461538461538458,0.63461538461538458,0.59615384615384615,0,0.59615384615384615,0.59615384615384615,0.012093613058002328,0,0.012093613058002328,0.012093613058002328,0.092275087549521254,0.0088478722510095479,0.082039476999988703,0.10362598776693044,0.42307692307692307,0,0.42307692307692307,0.42307692307692307,0.21153846153846154,2.7755575615628914e-17,0.21153846153846151,0.21153846153846151
lstm_seed_mean,LSTM_63,D2,MSFT,trend,negative_trend,3,2,False,descriptive_low_n,0.0079615539059803338,0.00081068883881324711,0.006848590212143001,0.0087563809903478014,0.0084467544227302595,0.0012454468602451692,0.0068627471330781689,0.009905764441055542,1,0,1,1,1,0,1,1,0.015701864376864352,0,0.015701864376864352,0.015701864376864352,0.49295486733975658,0.051630100690956346,0.44233494952040575,0.5638358574645479,0,0,0,0,1,0,1,1
lstm_seed_mean,LSTM_63,D2,MSFT,trend,positive_trend,3,250,True,reportable,0.010672032535797129,5.5567256364631399e-05,0.010595286685508401,0.010725038841187839,0.01361422750212637,7.4910236796464001e-05,0.013509379115430042,0.013679782850059583,0.51600000000000001,0.013063945294843629,0.5,0.53200000000000003,0.52400000000000002,0,0.52400000000000002,0.52400000000000002,0.010087321850274984,0,0.010087321850274984,0.010087321850274984,-0.057964908248288483,0.0055086233184000891,-0.063219653380591989,-0.050356758986486616,0.5,0,0.5,0.5,0.016000000000000014,0.013063945294843629,0,0.032000000000000028
