model,model_config_id,seed,fold,asset,regime_dimension,regime_value,n,mae,rmse,directional_accuracy,actual_positive_direction_balance,sample_size_status,matched_baseline_mae,mae_skill,matched_direction_persistence_da,da_difference
lstm,LSTM_63,31415,D2,AAPL,volatility,high_volatility,144,0.012369172441343374,0.016289390417138585,0.4861111111111111,0.5,reportable,0.012401370995443715,0.0025963705232405765,0.45833333333333331,0.02777777777777779
lstm,LSTM_63,31415,D2,AAPL,volatility,low_volatility,108,0.011605198834403842,0.015174917551443609,0.58333333333333337,0.57407407407407407,reportable,0.011856721489561449,0.021213507914396579,0.55555555555555558,0.02777777777777779
lstm,LSTM_63,31415,D2,AAPL,transition,transition,52,0.012618061680557969,0.016400246339370192,0.55769230769230771,0.51923076923076927,reportable,0.013516336228123826,0.066458434623488549,0.46153846153846156,0.096153846153846145
lstm,LSTM_63,31415,D2,AAPL,transition,stable,200,0.011891915491400234,0.015667365393484931,0.52000000000000002,0.53500000000000003,reportable,0.011817369301770464,-0.006308188203833387,0.51000000000000001,0.010000000000000009
lstm,LSTM_63,1729,D2,MSFT,trend,negative_trend,2,0.0087563809903478014,0.009905764441055542,1,1,descriptive_low_n,0.015701864376864352,0.44233494952040575,0,1
lstm,LSTM_63,1729,D2,MSFT,trend,positive_trend,250,0.010695772080695144,0.013679782850059583,0.51600000000000001,0.52400000000000002,reportable,0.010087321850274984,-0.060318312377786842,0.5,0.016000000000000014
lstm,LSTM_63,1729,D2,MSFT,volatility,high_volatility,144,0.010904528606217925,0.013794069150951077,0.52777777777777779,0.54166666666666663,reportable,0.010699905945041591,-0.019123781295587783,0.47222222222222221,0.05555555555555558
lstm,LSTM_63,1729,D2,MSFT,volatility,low_volatility,108,0.010381515396843524,0.013464827138451048,0.5092592592592593,0.5092592592592593,reportable,0.0093745160670044916,-0.10741880675668902,0.52777777777777779,-0.01851851851851849
lstm,LSTM_63,1729,D2,MSFT,transition,transition,52,0.010840400459195789,0.01443029236693035,0.63461538461538458,0.59615384615384615,reportable,0.012093613058002328,0.10362598776693044,0.42307692307692307,0.21153846153846151
lstm,LSTM_63,1729,D2,MSFT,transition,stable,200,0.010638774791381504,0.013444744229470274,0.48999999999999999,0.51000000000000001,reportable,0.0096218315615317681,-0.105691231793694,0.51500000000000001,-0.025000000000000022
lstm,LSTM_63,2718,D2,MSFT,trend,negative_trend,2,0.006848590212143001,0.0068627471330781689,1,1,descriptive_low_n,0.015701864376864352,0.5638358574645479,0,1
lstm,LSTM_63,2718,D2,MSFT,trend,positive_trend,250,0.010595286685508401,0.013509379115430042,0.5,0.52400000000000002,reportable,0.010087321850274984,-0.050356758986486616,0.5,0
lstm,LSTM_63,2718,D2,MSFT,volatility,high_volatility,144,0.010919050509751714,0.01366628263916886,0.52777777777777779,0.54166666666666663,reportable,0.010699905945041591,-0.020480980471765386,0.47222222222222221,0.05555555555555558
lstm,LSTM_63,2718,D2,MSFT,volatility,low_volatility,108,0.01009421831849203,0.013202671281517855,0.47222222222222221,0.5092592592592593,reportable,0.0093745160670044916,-0.076772203102907444,0.52777777777777779,-0.05555555555555558
lstm,LSTM_63,2718,D2,MSFT,transition,transition,52,0.010991161735976017,0.014164843197816929,0.63461538461538458,0.59615384615384615,reportable,0.012093613058002328,0.091159797881644633,0.42307692307692307,0.21153846153846151
lstm,LSTM_63,2718,D2,MSFT,transition,stable,200,0.010454892207653168,0.013282808609431025,0.46999999999999997,0.51000000000000001,reportable,0.0096218315615317681,-0.08658025665840885,0.51500000000000001,-0.04500000000000004
lstm,LSTM_63,31415,D2,MSFT,trend,negative_trend,2,0.0082796905154502009,0.0085717516940570677,1,1,descriptive_low_n,0.015701864376864352,0.4726937950343163,0,1
lstm,LSTM_63,31415,D2,MSFT,trend,positive_trend,250,0.010725038841187839,0.013653520540889485,0.53200000000000003,0.52400000000000002,reportable,0.010087321850274984,-0.063219653380591989,0.5,0.032000000000000028
lstm,LSTM_63,31415,D2,MSFT,volatility,high_volatility,144,0.011003612097620864,0.013790651248403733,0.55555555555555558,0.54166666666666663,reportable,0.010699905945041591,-0.028384002078075454,0.47222222222222221,0.08333333333333337
lstm,LSTM_63,31415,D2,MSFT,volatility,low_volatility,108,0.010308323604356072,0.01339063683974932,0.5092592592592593,0.5092592592592593,reportable,0.0093745160670044916,-0.099611279203873249,0.52777777777777779,-0.01851851851851849
lstm,LSTM_63,31415,D2,MSFT,transition,transition,52,0.011101459367683583,0.014339478952724973,0.63461538461538458,0.59615384615384615,reportable,0.012093613058002328,0.082039476999988703,0.42307692307692307,0.21153846153846151
lstm,LSTM_63,31415,D2,MSFT,transition,stable,200,0.010602716021041569,0.013427459085634648,0.51000000000000001,0.51000000000000001,reportable,0.0096218315615317681,-0.10194363237778892,0.51500000000000001,-0.0050000000000000044
lstm,LSTM_63,1729,D2,GOOGL,trend,negative_trend,2,0.010967032244873552,0.011820084158511856,1,1,descriptive_low_n,0.012898788048398951,0.14976258205631776,0,1
lstm,LSTM_63,1729,D2,GOOGL,trend,positive_trend,250,0.011011229165603412,0.015295538978472557,0.54000000000000004,0.56799999999999995,reportable,0.011043204576597829,0.0028954829888941935,0.50800000000000001,0.032000000000000028
