model,model_config_id,seed,fold,asset,regime_dimension,regime_value,n,mae,rmse,directional_accuracy,actual_positive_direction_balance,sample_size_status,matched_baseline_mae,mae_skill,matched_direction_persistence_da,da_difference
lightgbm,LGBM_03,1729,D4,NVDA,trend,positive_trend,197,0.021360097667650218,0.030900354013910565,0.52284263959390864,0.53299492385786806,reportable,0.021432017371430346,0.0033557132085941799,0.54314720812182737,-0.020304568527918732
lightgbm,LGBM_03,1729,D4,NVDA,volatility,high_volatility,135,0.023452394827069491,0.034025921357122554,0.57777777777777772,0.61481481481481481,reportable,0.023867993978080811,0.017412403882495764,0.59259259259259256,-0.014814814814814836
lightgbm,LGBM_03,1729,D4,NVDA,volatility,low_volatility,115,0.017960738962332672,0.023171775665113803,0.5130434782608696,0.5130434782608696,reportable,0.017974928220484826,0.00078939164474567391,0.5130434782608696,0
lightgbm,LGBM_03,1729,D4,NVDA,transition,transition,3,0.0091653742288470008,0.011368368086873817,0.33333333333333331,0.33333333333333331,descriptive_low_n,0.007507525713240734,-0.22082488677759482,1,-0.66666666666666674
lightgbm,LGBM_03,1729,D4,NVDA,transition,stable,247,0.021069077569376916,0.029685082333540509,0.55060728744939269,0.57085020242914974,reportable,0.021322969049623251,0.011906947838993376,0.55060728744939269,0
lightgbm,LGBM_01,1729,D5,AAPL,trend,negative_trend,0,,,,,descriptive_low_n,,,,
lightgbm,LGBM_01,1729,D5,AAPL,trend,positive_trend,252,0.010377142696272412,0.014220464774960591,0.56349206349206349,0.56349206349206349,reportable,0.01042704355729282,0.0047857152169952233,0.53174603174603174,0.031746031746031744
lightgbm,LGBM_01,1729,D5,AAPL,volatility,high_volatility,93,0.0097402379866515804,0.013758797519001997,0.59139784946236562,0.59139784946236562,reportable,0.0098626891475194177,0.012415595689603043,0.4946236559139785,0.096774193548387122
lightgbm,LGBM_01,1729,D5,AAPL,volatility,low_volatility,159,0.010749671866050635,0.014483677320700623,0.54716981132075471,0.54716981132075471,reportable,0.010757137646028205,0.00069403034740633807,0.55345911949685533,-0.0062893081761006275
lightgbm,LGBM_01,1729,D5,AAPL,transition,transition,35,0.0086921561519688242,0.012504540430214945,0.7142857142857143,0.7142857142857143,reportable,0.0090211979694761885,0.036474292950969378,0.5714285714285714,0.1428571428571429
lightgbm,LGBM_01,1729,D5,AAPL,transition,stable,217,0.010648914719547183,0.014478193397945639,0.53917050691244239,0.53917050691244239,reportable,0.01065379284565034,0.00045787694334120665,0.52534562211981561,0.013824884792626779
